用户eium1iebz7,20171021,376,1485,152,不擅长社交是怎样一种体验？ ​​​
用户eium1iebz7,20171017,118,55,12,逗你笑的人永远赢不了那个让你哭的人 ​​​
用户eium1iebz7,20171017,120,62,11,唐国强，一个书写中国历史的男人[doge] ​​​
用户eium1iebz7,20170909,4966,3412,1874,企鹅家族遇到的一个大挑战：一根挡路的绳子。字幕比视频精彩系列[doge]英国报姐的秒拍视频 ​​​
用户eium1iebz7,20170723,0,0,0,我的抑郁指数是【50】 - 结果建议我到心理专科去看大夫，认真听取大夫对忠告，给自己一个微笑。http://t.cn/RaNIbg5 ​​​
用户eium1iebz7,20170717,8006,6325,4599,每一只熊猫的背后都有一个想掐死它的饲养员 ！[笑cry] [笑cry] 微影帝的秒拍视频 ​​​
用户eium1iebz7,20170717,1114,674,841,#知乎小事# 人为什么要结婚？ ​​​
用户eium1iebz7,20170715,4,5,4,#阿克苏新闻# 【7月起新疆生活用电降为0.39元/度，平均每度降0.1634元】7月13日召开的自治区电力惠民新闻发布会公布，自2017年7月1日起，自治区各地（州、市）城乡居民生活用电价格实施城乡居民用电同网同价，同网同价后，到户终端电价为0.39元/千瓦时，平均每度电降低了0.1634元，预计我区城乡居民每 ​​​ 全文
用户eium1iebz7,20170706,278,65,13,#动漫# 嗯…一个常见的惨剧。 cr登登登Dn ​​​​
用户eium1iebz7,20170622,51920,12963,5546,朴树，知道你穷，没想到穷成这样！ ​​​
用户eium1iebz7,20170530,967,1081,577,原来​扇贝是这样游泳的，卧槽，好魔性，扇贝我们走！！！ http://t.cn/Rxfgcui ​​​
用户eium1iebz7,20170521,6,12,2,【小伙失恋酒后跳河，结果水不及胸[笑cry]】5月15日，山东单县一光头小伙失恋醉酒后跳河轻生，但河水太浅，死活沉不下去。小伙无奈，抱着桥墩陷入沉默……网友：谁挂的“水深危险”的牌子，还有没有一点信任了！@平安郑州 一手video的秒拍视频 ​​​
用户eium1iebz7,20170505,56,331,213,新难题[笑cry] ​​​
用户eium1iebz7,20170426,893,769,339,发布了头条文章：《剑来！只属于烽火的仙侠和江湖 | 评《雪中悍刀行》 》 剑来！只属于烽火的仙侠和江湖 | 评《雪中悍刀行》 ​​​
用户eium1iebz7,20170411,49687,3939,5846,【杭师大2元盖浇饭，12年不涨价[good]】现在2元能干什么？在杭州师范大学，2元可以吃一份盖浇饭。因员工曾看到贫困生只吃一个馒头加一碗汤，学校决定推出2元盖浇饭，12年惠及百万人，从未涨价。虽然赔本，但带来的是千金难换的深深暖意。http://t.cn/RXP8XQ2 ​​​
用户eium1iebz7,20170331,7359,7236,3507,这棵树里有一名小住户，谨慎又很好奇的样子。小家伙，你怎么这么白啊[可爱] http://t.cn/RMuajQF ​​​
用户eium1iebz7,20170322,3,24,2,#遇见不一样的秦岭#  华山云海仙境，高龄道教大师剑术精妙绝伦！@渭南市旅游局 @华山风景名胜区 @渭南青年网v @陕西旅游 秒拍视频 ​​​
用户eium1iebz7,20170312,3028,4107,1580,原来我们所看到的分身术是这样的。。[doge]http://t.cn/RiWME5Z ​​​
用户eium1iebz7,20161114,19,14,1,分享视频 秒拍视频 . ​​​
用户eium1iebz7,20160722,73,286,38,#书法入门#什么是爱国？发扬保护我们几千的传统文化。帮助更多的一些哈韩 憧美的人喜欢上中国的文化就是爱国。少年强则中国强，分享最简单是书法入门笔画，看上他就会爱上。 ​​​
用户eium1iebz7,20160507,0,0,0,偷得浮生半日闲！  http://t.cn/zOahP7H ​​​
