1浮躁世界,05月17日 11:16 来自微博 weibo.com,15283,2562,4260,最近很少上国内的网站，域名记不住，体验又很差。姐刚刚收了两个域名，一个是huang.wang（不是.com），准备做一个超级吸睛的网站，希望大家支持；另一个是sicong.wang（也不是.com），这个囤在手中，坐等王思聪报价，大家觉得值多少？[二哈][二哈] ​​​
1浮躁世界,04月22日 14:45 来自NOW直播,0,0,0,#NOW#.top域名正在直播，快来围观，点此进入>>http://t.cn/RXCTvNc ​​​
1浮躁世界,"04月05日 13:47 来自<a href=""https://weibo.cn/sinaurl?f=w&amp;u=http%3A%2F%2Fdown.sina.cn%2Fsinaclient%2Fweibo%2Findex%2Fgsid%2F0%2Fmid%2F0"">iPhone客户端</a>",3200,449,1392,【“雄安”域名遭抢注 网上售卖最高176万】与各路炒房客近日拥进雄安新区相应，雄安相关域名也在网络上遭遇抢注，为数不少的域名已经开始对外挂售。记者发现，xiongan.com要价高达176.4万，为所有域名中最高。 ​​​​ 雄安域名遭抢注.售卖价176万 ​​​
1浮躁世界,"04月05日 13:38 来自<a href=""https://weibo.cn/sinaurl?f=w&amp;u=http%3A%2F%2Fdown.sina.cn%2Fsinaclient%2Fweibo%2Findex%2Fgsid%2F0%2Fmid%2F0"">iPhone客户端</a>",0,0,0,雄安大开发了，机会无限  xaloan.net 雄安、西安 贷款 xionganhot.net 雄安热点 xionganforum.net 雄安论坛 xionganol.com.cn 雄安在线 ​​​
1浮躁世界,"02月17日 02:10 来自<a href=""https://weibo.cn/sinaurl?f=w&amp;u=http%3A%2F%2Fdown.sina.cn%2Fsinaclient%2Fweibo%2Findex%2Fgsid%2F0%2Fmid%2F0"">iPhone客户端</a>",0,0,0,猩猩也爱美女[花痴][花痴] 秒拍视频 . ​​​
1浮躁世界,"02月17日 01:58 来自<a href=""https://weibo.cn/sinaurl?f=w&amp;u=http%3A%2F%2Fdown.sina.cn%2Fsinaclient%2Fweibo%2Findex%2Fgsid%2F0%2Fmid%2F0"">iPhone客户端</a>",0,0,0,我发表了头条文章:《极品大米 你需要》 极品大米 你需要 ​​​
1浮躁世界,2016-12-25 16:43:38 来自支付宝,0,0,0,蚂蚁会员欧洲杯我支持法国夺冠，快来加入一起拿百万现金！ http://t.cn/RIj46ey ​​​
1浮躁世界,2015-08-18 00:33:46 来自微博 weibo.com,0,0,0,我分享了@新浪新闻 的文章 http://t.cn/RLgPzgD ​​​
二环大奇哥,10月21日 12:01 来自iPhone 6s Plus,2909,597,195,年轻时不用急着「化妆打扮变美」，大多数人变好看不是靠衣服口红高跟鞋晚上不吃饭堆出来的。青春繁盛的年代，要趁着好奇心最旺盛记忆最好的日子去读书和创造，要在感情最充沛修复力最强的时候去拥抱和恋爱，心定了阅历有了，人会突然又自然地闪现出光芒，举重若轻，翩翩然，那是真美。 ​​​
二环大奇哥,10月17日 12:26 来自iPhone 6s Plus,195496,53196,14,你要记得那些黑暗中默默抱紧你的人逗你笑的人陪你彻夜聊天的人坐车来看望你的人陪你哭过的人在医院陪你的人总是以你为重的人带着你四处飘荡的人说想念你的人是这些人构成了你生命中一点一滴的温暖是这些温暖使你远离阴霾是这些温暖使你成为善良的人 ​​​
